text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
buttigiege bothers me the most because he pretends to be a christian who is knowledgeable about the bible and he “speaks for god.” pete hasn’t read much of the bible if he’s read it at all and he’s lying.,2020-02-20 02:16:32+00:00,,,1230315266367729666,,https://twitter.com/simplylorilee/status/1230315266367729666,0,0,AlfonZoRachel,
"that’s beautiful, but not surprising. everyday americans are really very kind.",2020-02-20 01:51:54+00:00,,,1230309066452455424,,https://twitter.com/simplylorilee/status/1230309066452455424,0,1,DonaldJTrumpJr,
,2020-02-20 01:06:37+00:00,,,1230297673821016064,@Solmemes1,https://twitter.com/simplylorilee/status/1230297673821016064,0,0,KurtSchlichter,https://twitter.com/KurtSchlichter/status/1230297521974468608
this is a wonderful decision. i’ve followed ric’s career for a few years and i think he’s a man of high character.,2020-02-20 00:38:57+00:00,,,1230290711259557889,,https://twitter.com/simplylorilee/status/1230290711259557889,0,0,realDonaldTrump,
"my grandfather was 5’0” tall. he was self taught, ran a business as a house painter, and became a millionaire in the stock market. i never even considered his height as a problem. it must have hard for him but i never thought about it. i idolized him.",2020-02-20 00:32:45+00:00,,,1230289148323471361,,https://twitter.com/simplylorilee/status/1230289148323471361,0,0,Cernovich,
"i’d prefer to see rich, career politicians stock portfolio’s.",2020-02-20 00:15:00+00:00,,,1230284684149624835,,https://twitter.com/simplylorilee/status/1230284684149624835,0,0,Cernovich,
bacon and egg mcgriddle.,2020-02-19 21:38:24+00:00,,,1230245271025672197,,https://twitter.com/simplylorilee/status/1230245271025672197,0,0,WayneDupreeShow,
please vote no on america last amnesty.,2020-02-19 21:27:21+00:00,,,1230242491535937537,,https://twitter.com/simplylorilee/status/1230242491535937537,0,0,tedcruz,
"       no! no! no! 1000x’s no! please, no amnesty. americafirst",2020-02-19 21:25:55+00:00,,#AmericaFirst,1230242130955771904,@SenateGOP @SenTedCruz @senatemajldr @SenMikeLee @RandPaul @LindseyGrahamSC @realDonaldTrump,https://twitter.com/simplylorilee/status/1230242130955771904,0,0,ColumbiaBugle,https://twitter.com/ColumbiaBugle/status/1229866232020553729
mccabe was the last straw for me. i lost all hope for any justice.,2020-02-19 16:10:13+00:00,,,1230162683590324231,,https://twitter.com/simplylorilee/status/1230162683590324231,0,0,RepLeeZeldin,
god created countries at the tower of babel.,2020-02-19 15:48:42+00:00,,,1230157267187765254,,https://twitter.com/simplylorilee/status/1230157267187765254,0,0,benshapiro,
"adultery and homosexuality, lying and murder, are all spoken about in the bible very clearly and with zero interpretation needed. if buttigieg is a bible scholar, capable of teaching and using it to rebuke others, than he should know the whole bible and believe every word in it.",2020-02-19 12:41:17+00:00,,,1230110102545477632,,https://twitter.com/simplylorilee/status/1230110102545477632,0,0,LarryOConnor,
schools don’t allow wikipedia as a source for students in writing reports anymore.,2020-02-19 12:03:56+00:00,,,1230100704506851328,,https://twitter.com/simplylorilee/status/1230100704506851328,0,0,dbongino,
"i worked for many yrs and married a man younger than me. after i raised his children while he stayed home, he left me to be bi-sexual and in the divorce i had to give him a lot of money, pay off his debts and give him my house. my step children sided with him and left me also.",2020-02-18 14:06:52+00:00,,,1229769251738832896,,https://twitter.com/simplylorilee/status/1229769251738832896,0,0,Cernovich,
you’re not trying to claim that the successful economy is because of you? hubris can make a person crazy.,2020-02-17 22:36:16+00:00,,,1229535059176280065,,https://twitter.com/simplylorilee/status/1229535059176280065,0,0,BarackObama,
my grandkids love lego’s.,2020-02-17 03:48:01+00:00,,,1229251126840766464,,https://twitter.com/simplylorilee/status/1229251126840766464,0,0,cvpayne,
"my concern with buttigieg is that he often speaks with “authority” on what god says in the bible and he is always wrong. if he believes the bible and trusts that it is god’s authority, he needs to study all of it.",2020-02-17 03:42:55+00:00,,,1229249842351935488,,https://twitter.com/simplylorilee/status/1229249842351935488,0,0,McAllisterDen,
wth?,2020-02-17 02:41:53+00:00,,,1229234481527238656,,https://twitter.com/simplylorilee/status/1229234481527238656,0,0,johncardillo,
"anna karenina cs lewis, narnia series wuthering heights, gone with the wind",2020-02-17 02:36:39+00:00,,,1229233165966991365,,https://twitter.com/simplylorilee/status/1229233165966991365,0,0,exjon,
"i’m not afraid to die and at 95 i don’t think i’d want treatment, but 95 will become 85, 75, and so on. i’ve read ezekiel emanuel’s writing on a “complete lives system” for determining healthcare.",2020-02-17 02:16:56+00:00,,,1229228204541587456,,https://twitter.com/simplylorilee/status/1229228204541587456,0,0,DLoesch,
very cool.,2020-02-16 22:00:33+00:00,,,1229163684229939201,,https://twitter.com/simplylorilee/status/1229163684229939201,0,0,DonaldJTrumpJr,
 ,2020-02-16 18:23:45+00:00,,,1229109122194427904,,https://twitter.com/simplylorilee/status/1229109122194427904,0,0,brithume,
you look totally pissed that a virus had the audacity to attack you. ,2020-02-16 17:13:48+00:00,,,1229091518339788815,,https://twitter.com/simplylorilee/status/1229091518339788815,0,0,KurtSchlichter,
they obviously don’t know a jesus.,2020-02-16 17:07:53+00:00,,,1229090030519541762,,https://twitter.com/simplylorilee/status/1229090030519541762,0,0,bennyjohnson,
ouch!,2020-02-16 16:48:53+00:00,,,1229085248572608513,,https://twitter.com/simplylorilee/status/1229085248572608513,0,1,johncardillo,
  you have to love this guy!,2020-02-16 16:42:39+00:00,,,1229083679374348289,@DonaldJTrumpJr @EricTrump,https://twitter.com/simplylorilee/status/1229083679374348289,0,0,Johnny_Joey,https://twitter.com/Johnny_Joey/status/1229082758577868808
i love you. ( like a ),2020-02-16 16:41:11+00:00,,,1229083313761083393,,https://twitter.com/simplylorilee/status/1229083313761083393,0,0,Johnny_Joey,
you don’t like nascar ? daytona500 you are missing out on so much fun.,2020-02-16 02:59:25+00:00,,#NASCAR #DAYTONA500,1228876507415810049,,https://twitter.com/simplylorilee/status/1228876507415810049,0,0,CahnEmily,
been there several times and its beautiful but there are many islands in mi lakes with less famous but still lovely settings. most are accessed by ferry but are prime real estate. there are some that are reservations and accessible only to residents of the reservation.,2020-02-16 02:36:42+00:00,,,1228870791443439617,,https://twitter.com/simplylorilee/status/1228870791443439617,0,0,wrathofgnon,
you're bedridden with the flu? how long do you think you'll be down?,2020-02-16 02:10:38+00:00,,,1228864229068955648,,https://twitter.com/simplylorilee/status/1228864229068955648,0,0,MattWalshBlog,
