text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
,2020-03-29 06:32:50+00:00,,,1244150506433294337,,https://twitter.com/jhopper23/status/1244150506433294337,0,0,,https://youtu.be/SiO_7LhPZFM
i hope the gift of corona virus is the death of the earth stops.,2020-03-29 06:28:59+00:00,,,1244149537876275202,,https://twitter.com/jhopper23/status/1244149537876275202,0,0,,
i hope a gift of corona virus is all trafficking human and drug disappears into dust.,2020-03-29 06:27:47+00:00,,,1244149235928330240,,https://twitter.com/jhopper23/status/1244149235928330240,0,0,,
i hope a gift of corona virus is no more sex slave houses.,2020-03-29 06:27:01+00:00,,,1244149043644653569,,https://twitter.com/jhopper23/status/1244149043644653569,0,0,,
i hope one of the gifts of the corona virus is horse racing stops,2020-03-29 06:25:00+00:00,,,1244148534703575040,,https://twitter.com/jhopper23/status/1244148534703575040,0,0,,
that jockey was beating that horse.,2020-03-29 06:24:18+00:00,,,1244148358102433792,,https://twitter.com/jhopper23/status/1244148358102433792,0,0,,
,2020-03-29 06:24:14+00:00,,,1244148341878870016,,https://twitter.com/jhopper23/status/1244148341878870016,0,0,,
farmingtin road is one of most favorite roads,2020-03-29 06:18:30+00:00,,,1244146900980256770,,https://twitter.com/jhopper23/status/1244146900980256770,0,0,,
allenup,2020-03-29 06:17:36+00:00,,,1244146673464434691,,https://twitter.com/jhopper23/status/1244146673464434691,0,0,,
celli got the 9 y/0,2020-03-29 06:17:21+00:00,,,1244146608108785665,,https://twitter.com/jhopper23/status/1244146608108785665,0,0,,
the blood suckers are thirsty.,2020-03-29 06:11:38+00:00,,,1244145170787889152,,https://twitter.com/jhopper23/status/1244145170787889152,0,0,,
safeway.,2020-03-29 06:11:09+00:00,,,1244145050470060033,,https://twitter.com/jhopper23/status/1244145050470060033,0,0,,
at risk 9 year old?. is he size 6x?,2020-03-29 06:10:52+00:00,,,1244144978713956353,,https://twitter.com/jhopper23/status/1244144978713956353,0,0,,
,2020-03-28 23:18:31+00:00,,,1244041208579518464,,https://twitter.com/jhopper23/status/1244041208579518464,0,0,,
,2020-03-28 20:17:32+00:00,,,1243995661873246208,,https://twitter.com/jhopper23/status/1243995661873246208,0,0,,https://youtu.be/eh9WayN7R-s
"but i can tell you, i walked around the store with a nasa cup in my hand and 2 american flags before i put anything into the shopping cart.",2020-03-28 18:02:44+00:00,,,1243961737386160129,,https://twitter.com/jhopper23/status/1243961737386160129,0,0,,
i could show you the receipt total but sometimes i think it's only important that some people know how well my ears work.,2020-03-28 18:00:22+00:00,,,1243961143309135874,,https://twitter.com/jhopper23/status/1243961143309135874,0,0,,
the last purchase i made at the store was $88.89. there was more than 20 items.,2020-03-28 17:59:26+00:00,,,1243960907450863618,,https://twitter.com/jhopper23/status/1243960907450863618,2,0,,
,2020-03-28 13:54:21+00:00,,,1243899228197236737,,https://twitter.com/jhopper23/status/1243899228197236737,0,0,,https://youtu.be/kPOWVII_XbY
,2020-03-28 13:54:17+00:00,,,1243899214330875904,,https://twitter.com/jhopper23/status/1243899214330875904,0,0,,https://www.dailymail.co.uk/news/article-8159055/False-belief-drinking-methanol-protects-coronavirus-kills-300-people-Iran.html
,2020-03-27 17:59:26+00:00,,,1243598518578597888,,https://twitter.com/jhopper23/status/1243598518578597888,0,0,,https://www.nytimes.com/2020/03/13/us/coronavirus-deaths-estimate.html
you dony need to disinfect your pets. you need to keep other people beside you or your family members from touching them.,2020-03-27 17:22:07+00:00,,,1243589126084915202,,https://twitter.com/jhopper23/status/1243589126084915202,0,0,,
then their fur is contagious for 2 hours. but the pet is not contagious.,2020-03-27 17:21:00+00:00,,,1243588846899482624,,https://twitter.com/jhopper23/status/1243588846899482624,0,0,,
not of you view it that this is a huge house cleaning. the world will be a way better place for all souls living here after this chapter is over.,2020-03-27 17:18:39+00:00,,,1243588253904596993,,https://twitter.com/jhopper23/status/1243588253904596993,0,0,vezps,
your pets cannot give you corona virus. the only way animals pass corona virus is by an infected person touching their fur. don't let people touch your pets.,2020-03-27 17:17:35+00:00,,,1243587985448161280,,https://twitter.com/jhopper23/status/1243587985448161280,2,0,,
california isn't exactly known for its honesty.,2020-03-27 16:07:42+00:00,,,1243570400455299072,,https://twitter.com/jhopper23/status/1243570400455299072,0,0,,
that's how accurate the numbers are we are seeing. just because a county isnt documenting cases doesnt mean they don't have corona virus cases there.,2020-03-27 16:06:51+00:00,,,1243570187732807680,,https://twitter.com/jhopper23/status/1243570187732807680,0,0,,
i'm watching a man on video who has corona virus in marysville. which is strange because sutter county which is the county marysville is in. isn't showing any cases of corona virus.,2020-03-27 16:04:17+00:00,,,1243569539490566144,,https://twitter.com/jhopper23/status/1243569539490566144,0,0,,
if you're touching things everyone else is touching. please don't contact me in anyway.,2020-03-27 15:53:23+00:00,,,1243566796835184645,,https://twitter.com/jhopper23/status/1243566796835184645,0,0,,
can feed up to 6 with grilled cheese or toasted bread.,2020-03-27 15:27:16+00:00,,,1243560226525077504,,https://twitter.com/jhopper23/status/1243560226525077504,0,0,,
